"Positively linked with ..., consistently linked with fragile p-values",,,,,,
covid,entreprene.,conspiracy,smartphone,meanwhile,resilience,cyberbully.
passion,innovation,burnout,loneliness,autoregres.,kmo,mediating
addiction,heterogene.,government,machiavell.,authentici.,adaptabili.,humor
online,capital,engagement,metric,mindfulness,profile,customer
problematic,mobile,normality,creativity,medium,has,bartletts
configural,employee,impact,bootstrap,fixed,psychologi.,directly
pooled,safety,climate,direct,exhaustion,positively,dark
science,academic,gratitude,phone,ethical,sense,hope
procrastin.,invariance,moral,brand,trust,mathematics,intrinsic
swb,through,political,love,narcissism,sphericity,sem
excellent,violated,economic,indirect,motivation,leadership,vehicle
autonomy,pathway,generalized,accordingly,moderate,maltreatme.,according
acceptable,positive,moreover,bullying,mediation,adequacy,figure
random,class,dataset,latent,intention,career,victimizat.
loaded,descriptive,work,suggest,unconditio.,suggested,socioecono.
perceived,intercept,weakly,turn,student,resource,environmen.
hypothesis,ideation,shown,life,table,sampling,adequate
path,predictive,occupation.,show,adding,structural,confirmato.
subjective,organizati.,weaker,satisfacti.,model,assumption,environment
study,national,estimated,null,coefficient,relationsh.,social
good,support,value,identity,prevalence,measurement,pearsons
distress,suicidal,based,achievement,country,standardiz.,size
similarly,could,indicator,its,stronger,full,school
including,robust,influence,large,highest,community,likewise
next,person,dimension,confidence,supported,loading,fit
average,index,can,belief,are,hypothesi,slightly
that,test,related,finally,and,,
,,,,,,
"Negatively linked with ..., consistently linked with fragile p-values",,,,,,
bipolar,restraint,subject,montholds,caucasian,depressed,obese
primed,smoking,drink,prime,abstinence,priming,quit
experiment.,twotailed,episode,looked,drug,planned,genotype
novel,her,administra.,verb,latency,consumed,made
ethnicity,subtest,mood,stories,threeway,overweight,hsd
cause,attempt,either,recall,infant,onset,meal
presentati.,unrelated,pretreatme.,weight,object,muscle,whereas
movement,familiar,cortisol,emerge,eat,angry,medication
differ,intake,lifetime,slower,substance,did,lsd
span,history,salience,girl,placebo,fruit,longer
fearful,previously,fishers,mannwhitney,took,completer,possible
patient,look,main,none,preference,interacted,event
peak,separately,exception,trial,woman,twoway,contrast
pair,energy,looking,performed,number,response,neutral
chose,ancova,than,they,face,tukey,emerged
continued,site,diagnosis,reaction,inversely,delay,questionna.
only,month,read,bmi,happy,sex,cue
followup,times,reached,out,fewer,report,more
percentage,choice,revealed,versus,prior,days,analysis
problem,period,received,condition,one,interaction,task
female,younger,group,treatment,mothers,status,less
not,however,significan.,rate,their,over,likely
posthoc,performance,children,control,there,age,greater
comparison,difference,significan.,score,significant,,
